Country,GDP
Afghanistan,20315
Albania,12800
Algeria,215700
Andorra,4800
Antigua and Barbua,1220
Argentina,536200
Armenia,10400
Australia,1483000
Austria,436100
Azerbaijan,76010
Bahrain,28360
Bahamas,8373
Bangladesh,140200
Barbados,4262
Belarus,69240
Belgium,527800
Belize,1637
Benin,8359
Bhutan,2133
Bolivia,29810 
Brunei,16560
Bulgaria,53700
Burkina Faso,12130
Burma,59430
Burundi,2676
Brazil,2244000
Cambodia,15640
Cameroon,27880
Canada,1794000
Cape Verde,1955
Central African Republic,2050
Chad,13590
Chile,264100
China,10360000
Colombia,400100
Comoros,658
Dem. Rep. Congo,18560
Rep. of Congo, 14250
Costa Rica,48510
Cote d'Ivoire,28280
Croatia,59140
Cuba,72300
Cyprus,21780
Czech Rep.,194800
Denmark,347200
Djibouti,1459
Dominica,495
Dominican Rep.,59270
Ecuador,91410
Egypt,284900
El Salvador,24670
Equatorial Guinea,17080
Eritrea,3438
Estonia,24280
Ethiopia,47340
Fiji,4218
Finland,276300
France,2902000
Gabon,19970
Gambia,896
Georgia,15950
Germany,3820000
Ghana,45550
Greece,246400
Greenland,2160
Grenada,811
Guatemala,53900
Guinea,6544
Guinea Bissau,880
Guyana,3020
Haiti,8287
Honduras,18880
Hungary,130600
Iceland,14590
India,2048000
Indonesia,856100
Iran,402700
Iraq,232400
Ireland,220900
Israel,305000
Italy,2129000
Jamaica,14390
Japan,4770000
Jordan,34080
Kazakhstan,225600
Kenya,55206
Kiribati,173
Kosovo,7150
Kuwait,179500
Kyrgyzstan,7234
Laos,10100
Latvia,30380
Lebanon,43490
Lesotho,1977
Liberia,1977
Libya,70920
Liechtenstein,5113
Lithuania,46710
Luxembourg,60540
Rep. of Macedonia,10650
Madagascar,10530
Malawi,3683
Malaysia,336900
Maldives,2270
Mali,11370
Malta,9541
Mauritania,4183
Mauritius,11900
Mexico,1296000
Micronesia,339
Moldova,7932
Monaco,5748
Mongolia,11140
Montenegro,4518
Morocco,104800
Mozambique,14670
Namibia,12300
Myanmar,56408
Nepal,19340
Netherlands,880400
New Zealand,181100
Nicaragua,14280
Niger,7304
Nigeria,594300
North Korea,28000
Norway,511600
Oman,81950
Pakistan,237500
Palau,221
Panama,40620
Papua New Guinea,16100
Paraguay,30560
Peru,210300
Philippines,289700
Poland,552200
Portugal,219300
Puerto Rico,93520
Qatar,213100
Romania,188900
Russia,2057000
Rwanda,7700
Saint Kitts and Nevis,767
Saint Lucia,1377
Saint Vincent and the Grenadines,742
Samoa,705
San Marino,1866
Sao Tome and Principe,311
Saudi Arabia,777900
Senegal,15360
Serbia,43680
Seychelles,1271
Slovakia,96960
Slovenia,46820
Solomon Islands,1099
Somalia,2372
South Africa,341200
Singapore,295744
South Korea,1449000
South Sudan,11700
Spain,1400000
Sri Lanka,65120
Sudan,52500
Suriname,5009
Swaziland,3807
Sweden,559100
Switzerland,679000
Syria,64700
Taiwan,505500
Tajikistan,8513
Tanzania,31940
Thailand,380500
Timor-Leste,6129
Togo,4299
Tonga,477
Trinidad & Tobago,27130
Tunisia,48380
Turkey,813300
Turkmenistan,40560
Tuvalu,38
Uganda,22600
Ukraine,175500
United Arab Emirates,416400
United Kingdom,2848000
United States,17420000
Uruguay,57110
Uzbekistan,55180
Vanuatu,828
Venezuela,209200
Vietnam,170000
Yemen,43890
Zambia,22240
Zimbabwe,10480
